class,common_name,scientific_name
0,Western barbastelle,Barbastella barbastellus
1,Northern bat,Eptesicus nilssonii
2,Serotine,Eptesicus serotinus
3,Savi's pipistrelle,Hypsugo savii
4,Schreiber's bent-winged bat,Miniopterus schreibersii
5,Alcathoe whiskered bat,Myotis alcathoe
6,Cryptic myotis,Myotis crypticus
7,Daubenton's bat,Myotis daubentonii
8,Leisler's bat,Nyctalus leisleri
9,Noctule,Nyctalus noctula
10,Kuhl's pipistrelle,Pipistrellus kuhlii
11,Nathusius's pipistrelle,Pipistrellus nathusii
12,Common pipistrelle,Pipistrellus pipistrellus
13,Soprano pipistrelle,Pipistrellus pygmaeus
14,Brown long-eared bat,Plecotus auritus
15,Grey long-eared bat,Plecotus austriacus
16,Mediterranean horseshoe bat,Rhinolophus euryale
17,Greater horseshoe bat,Rhinolophus ferrumequinum
18,Lesser horseshoe bat,Rhinolophus hipposideros
19,European free-tailed bat,Tadarida teniotis
20,Parti-coloured bat,Vespertilio murinus
21,Background,Background
